Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.1-192.168.1.100-443-3960-6,192.168.1.1,443,192.168.1.100,3960,6,04/05/2025 07:35:06 PM,19980564,152,153,0,75000,0,0,0,0.0,500,0,490.19607843137254,69.55186050933216,3753.6477949271098,15.264834366036913,65725.53947368421,295834.4498571941,1876581,6,19936729,132031.3178807947,411781.25529533875,1877937,6,19933074,131138.6447368421,410044.7015105866,1880307,50,0,0,0,0,6084,6124,7.607392864385609,7.657441501651304,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,1.006578947368421,245.9016393442623,0.0,490.19607843137254,6084,0.0,0.0,0.0,6818.181818181818,13.636363636363637,26207.33707597402,13.818181818181818,0.0,13.909090909090908,6818.181818181818,0,24804,0,40,19980564,0.0,19980564,19980564,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-8.8.8.8-32931-80-6,172.16.0.20,32931,8.8.8.8,80,6,04/05/2025 07:35:26 PM,16763071,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,4474.120523620046,18.19475679605485,55141.68092105263,248673.99979834992,1802024,1,16752643,110214.75657894737,344952.95514966967,1806725,50,16747277,110909.11920529802,345453.5055849905,1803196,1,0,0,0,0,6124,6084,9.127205868184893,9.06755092786996,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,6818.181818181818,13.636363636363637,27977.47477550874,0.0,0.0,0.0,17.0,8333.333333333334,16.88888888888889,0.0,27927,38688,150,40,16763071,0.0,16763071,16763071,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.1-192.168.1.100-80-23956-6,192.168.1.1,80,192.168.1.100,23956,6,04/05/2025 07:35:43 PM,20425923,152,153,0,75000,0,0,0,0.0,500,0,490.19607843137254,69.55186050933216,3671.8046964144532,14.932005765418776,67190.53618421052,309197.48661753273,1915663,1,20390855,135038.7748344371,430554.4522194016,1916852,1,20383691,134103.2302631579,428927.01283717656,1919606,50,0,0,0,0,6084,6124,7.441524184733292,7.4904815806854845,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,1.006578947368421,245.9016393442623,0.0,490.19607843137254,6084,0.0,0.0,0.0,7500.0,15.0,19631.010295548786,15.2,0.0,15.3,7500.0,0,46251,0,40,20425923,0.0,20425923,20425923,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.100-208.67.222.222-13426-443-6,192.168.1.100,13426,208.67.222.222,443,6,04/05/2025 07:36:04 PM,19706123,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,3805.9236715410734,15.477422930933699,64822.77302631579,298289.5466421145,1955410,3,19685662,129510.93421052632,413867.2605507516,1960017,50,19672856,130283.81456953642,414624.8441845617,1957007,3,0,0,0,0,6124,6084,7.76408428994379,7.7133386409899085,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,8333.333333333334,16.666666666666668,15776.633165512027,0.0,0.0,0.0,17.0,8333.333333333334,16.88888888888889,0.0,13772,27320,150,40,19706123,0.0,19706123,19706123,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-192.168.1.1-13298-80-6,172.16.0.20,13298,192.168.1.1,80,6,04/05/2025 07:36:24 PM,20758929,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,3612.903151217484,14.6924728149511,68285.95065789473,307035.38113705144,1895356,1,20710983,136256.46710526315,425533.34727153654,1899962,50,20744201,137378.81456953642,427206.6276764349,1896727,1,0,0,0,0,6124,6084,7.370322428483666,7.322150386467434,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,6250.0,12.5,42041.81983903028,0.0,0.0,0.0,12.75,6250.0,12.666666666666666,0.0,50104,25442,150,40,20758929,0.0,20758929,20758929,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.100-8.8.8.8-5172-443-6,192.168.1.100,5172,8.8.8.8,443,6,04/05/2025 07:36:45 PM,20483374,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,3661.5061561635302,14.890125035065022,67379.5197368421,301428.4223752793,1825881,8,20454108,134566.5,417624.7190888169,1830512,50,20461338,135505.54966887418,418486.0559455984,1828055,8,0,0,0,0,6124,6084,7.469472558573602,7.420652476491421,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,6250.0,12.5,36338.12479771778,0.0,0.0,0.0,13.909090909090908,6818.181818181818,13.818181818181818,0.0,47130,46078,150,40,20483374,0.0,20483374,20483374,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.100-8.8.8.8-10387-443-6,192.168.1.100,10387,8.8.8.8,443,6,04/05/2025 07:37:06 PM,18376069,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,4081.395210259604,16.597673855055724,60447.59539473684,274017.1143781163,1849541,2,18342596,120674.97368421052,380052.4130142572,1854163,50,18360770,121594.50331125828,381175.9373407486,1851015,2,0,0,0,0,6124,6084,8.326046228929593,8.271627626126131,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,7500.0,15.0,19931.472938507686,0.0,0.0,0.0,15.3,7500.0,15.2,0.0,3555,12984,150,40,18376069,0.0,18376069,18376069,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-192.168.1.1-59778-80-6,10.0.0.50,59778,192.168.1.1,80,6,04/05/2025 07:37:24 PM,20046028,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,3741.3895660526864,15.214984235280925,65940.88157894737,300079.9632626422,1953459,1,20014549,131674.6644736842,416136.09304655634,1957867,50,20025331,132618.08609271524,417404.4680269238,1955005,1,0,0,0,0,6124,6084,7.63243471474748,7.582549520533444,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,6818.181818181818,13.636363636363637,27803.5423937293,0.0,0.0,0.0,13.909090909090908,6818.181818181818,13.818181818181818,0.0,59665,9574,150,40,20046028,0.0,20046028,20046028,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-8.8.8.8-15757-80-6,10.0.0.50,15757,8.8.8.8,80,6,04/05/2025 07:37:44 PM,17161209,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,4370.321461617303,17.772640610577028,56451.34539473684,273747.4251527941,2375342,1,17148479,112818.94078947368,380739.5698710504,2379674,50,17145841,113548.61589403973,381553.215691125,2388072,1,0,0,0,0,6124,6084,8.915455781699297,8.857184828877733,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,9375.0,18.75,16943.079836244004,0.0,0.0,0.0,19.125,9375.0,19.0,0.0,55133,29399,150,40,17161209,0.0,17161209,17161209,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-192.168.1.1-44374-443-6,172.16.0.20,44374,192.168.1.1,443,6,04/05/2025 07:38:02 PM,20163729,153,152,75000,0,500,0,490.19607843137254,69.55186050933216,0,0,0,0.0,3719.5500891724937,15.126170362634808,66328.05592105263,305484.64519794827,1899542,2,20138350,132489.1447368421,423774.05804096686,1903992,50,20142455,133393.7417218543,424777.6732179704,1901284,2,0,0,0,0,6124,6084,7.587882181911888,7.538288180722921,0,500,245.9016393442623,250.37719603301804,62688.74029335634,1,2,0,150,304,0,0,0,0.9934640522875817,245.9016393442623,490.19607843137254,0.0,6124,6818.181818181818,13.636363636363637,30533.145357720223,0.0,0.0,0.0,13.909090909090908,6818.181818181818,13.818181818181818,0.0,42760,18379,150,40,20163729,0.0,20163729,20163729,0.0,0.0,0.0,0.0,NeedManualLabel
