Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.57.131-20.50.88.233-51338-443-6,192.168.57.131,51338,20.50.88.233,443,6,10/05/2025 04:06:32 PM,568918,10,9,1604,5062,630,0,160.4,257.11484679894403,1440,0,562.4444444444445,669.2546434487981,11716.978545238504,33.39672852678242,31606.555555555555,59697.36773704537,146888,0,568918,63213.11111111111,73507.87669434556,147044,98,425821,53227.625,73512.38280907413,148800,0,0,0,0,0,552,498,17.5772255404118,15.819502986370619,0,1440,350.8421052631579,524.078478342689,274658.2514619883,2,2,0,9,18,0,0,0,0.9,350.8421052631579,160.4,562.4444444444445,552,0.0,0.0,0.0,4408.0,4.0,18599156.11814346,0.0,0.0,0.0,0.0,65535,65535,4,54,568918,0.0,568918,568918,0.0,0.0,0.0,0.0,NeedManualLabel
172.67.41.16-192.168.57.131-443-50662-6,172.67.41.16,443,192.168.57.131,50662,6,10/05/2025 04:06:33 PM,547,2,2,39,0,39,0,19.5,27.577164466275352,0,0,0,0.0,71297.98903107861,7312.614259597807,182.33333333333334,218.13833531347336,424,0,0,0,0.0,0,0,424,424,0.0,424,424,0,0,0,0,108,108,3656.3071297989036,3656.3071297989036,0,39,9.75,19.5,380.25,2,0,0,1,4,0,0,0,1.0,9.75,19.5,0.0,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,252,0,54,547,0.0,547,547,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.57.131-52.167.249.196-51345-443-6,192.168.57.131,51345,52.167.249.196,443,6,10/05/2025 04:06:37 PM,1283298,11,11,1726,4322,1229,0,156.9090909090909,363.23393413761727,1440,0,392.90909090909093,579.9135201985645,4712.857029310418,17.143329141010117,61109.42857142857,93151.8116230551,210841,0,1082036,108203.6,112125.12662319123,243123,73,1079772,107977.2,114287.02362891228,244000,0,0,0,0,0,606,606,8.571664570505058,8.571664570505058,0,1440,274.90909090909093,487.39901606979146,237557.80086580085,2,2,0,11,21,0,0,0,1.0,274.90909090909093,156.9090909090909,392.90909090909093,606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,65535,5,54,1283298,0.0,1283298,1283298,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.57.131-52.167.249.196-51355-443-6,192.168.57.131,51355,52.167.249.196,443,6,10/05/2025 04:06:38 PM,1277094,11,11,716,4313,219,0,65.0909090909091,90.07158769051931,1440,0,392.09090909090907,579.9647324700795,3937.84639188658,17.22660978753326,60814,93021.7785225589,214374,0,1073953,107395.3,111709.28427450523,241113,51,1077878,107787.8,114240.93568497142,247199,0,0,0,0,0,606,606,8.61330489376663,8.61330489376663,0,1440,228.5909090909091,438.22310680975204,192039.49134199135,2,2,0,11,21,0,0,0,1.0,228.5909090909091,65.0909090909091,392.09090909090907,606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,65535,5,54,1277094,0.0,1277094,1277094,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.57.131-52.167.249.196-51356-443-6,192.168.57.131,51356,52.167.249.196,443,6,10/05/2025 04:06:39 PM,1410915,14,11,4586,5178,1440,0,327.57142857142856,567.4783241249382,1440,0,470.72727272727275,638.9137799279479,6920.331841393706,17.718997955227636,58788.125,90080.56456755688,219451,0,1204058,92619.84615384616,114387.63211032779,251396,0,1195926,119592.6,129053.99353689999,303651,0,0,0,0,0,768,606,9.922638854927477,7.79635910030016,0,1440,390.56,591.4234298143195,349781.6733333334,2,2,0,10,24,0,0,0,0.7857142857142857,390.56,327.57142857142856,470.72727272727275,768,4214.0,5.0,13637540.453074435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,65535,7,54,1410915,0.0,1410915,1410915,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.57.131-20.106.86.13-51358-443-6,192.168.57.131,51358,20.106.86.13,443,6,10/05/2025 04:06:39 PM,1561592,12,10,723,4313,226,0,60.25,89.08027533941201,1440,0,431.3,595.7704722085139,3224.914062059744,14.088186927187126,74361.52380952382,116092.7511038562,278300,0,1561592,141962.9090909091,136937.97881483028,319275,40,1315897,146210.77777777778,139149.77293709264,281209,0,0,0,0,0,660,552,7.684465596647524,6.403721330539603,0,1440,228.9090909090909,438.218352736766,192035.32467532466,1,2,1,11,21,0,0,0,0.8333333333333334,228.9090909090909,60.25,431.3,660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,65535,5,54,1561592,0.0,1561592,1561592,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.57.131-72.25.64.2-51362-443-6,192.168.57.131,51362,72.25.64.2,443,6,10/05/2025 04:06:41 PM,1136898,11,12,1665,4262,821,0,151.36363636363637,253.5970318151507,1440,0,355.1666666666667,533.4201539181479,5213.308493813869,20.2304868158797,51677.181818181816,109782.43563939429,282087,0,1135445,113544.5,144028.93764352435,285851,81,856542,77867.45454545454,131409.99118968364,288502,0,0,0,0,0,606,660,9.675450216290292,10.555036599589409,0,1440,257.69565217391306,427.00866872003354,182336.40316205536,2,2,0,12,22,0,0,0,1.0909090909090908,257.69565217391306,151.36363636363637,355.1666666666667,606,0.0,0.0,0.0,3681.0,4.0,3103709.949409781,0.0,0.0,0.0,0.0,65535,32768,5,54,1136898,0.0,1136898,1136898,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.57.131-20.106.86.13-51364-443-6,192.168.57.131,51364,20.106.86.13,443,6,10/05/2025 04:06:41 PM,1625894,14,11,3701,4280,1440,0,264.35714285714283,507.90392900518214,1440,0,389.09090909090907,582.5870672346674,4908.684083956273,15.376156133179654,67745.58333333333,106638.49234962698,251163,0,1374731,105748.53846153847,131426.99265347244,295073,0,1375273,137527.3,142730.59481574214,344793,0,0,0,0,0,768,606,8.610647434580606,6.765508698599048,0,1440,319.24,533.9897221233133,285145.0233333333,2,2,0,10,24,0,0,0,0.7857142857142857,319.24,264.35714285714283,389.09090909090907,768,3329.0,5.0,8806878.306878306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,65535,7,54,1625894,0.0,1625894,1625894,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.57.131-20.106.86.13-51365-443-6,192.168.57.131,51365,20.106.86.13,443,6,10/05/2025 04:06:41 PM,1527658,11,11,1330,4313,833,0,120.9090909090909,247.55866155134,1440,0,392.09090909090907,579.9647324700795,3693.889600944714,14.401129048517404,72745.61904761905,112888.30372827656,260608,0,1285595,128559.5,134717.44618789686,284166,124,1288587,128858.7,136465.78110040788,289322,0,0,0,0,0,606,606,7.200564524258702,7.200564524258702,0,1440,256.5,456.74372829118664,208614.83333333334,2,2,0,11,21,0,0,0,1.0,256.5,120.9090909090909,392.09090909090907,606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,65535,5,54,1527658,0.0,1527658,1527658,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.57.131-52.137.106.217-51380-443-6,192.168.57.131,51380,52.137.106.217,443,6,10/05/2025 04:06:42 PM,1407782,11,12,1279,4313,782,0,116.27272727272727,232.93436453606023,1440,0,359.4166666666667,564.4397799159049,3972.2059239285627,16.337756840192586,63990.09090909091,101116.46078793035,238576,0,1187991,118799.1,124439.15370390641,279112,118,1183690,107608.18181818182,115366.78369255007,240640,0,0,0,0,0,606,660,7.813709793135584,8.524047047057001,0,1440,243.1304347826087,446.5214343168173,199381.3913043478,2,2,0,11,22,0,0,0,1.0909090909090908,243.1304347826087,116.27272727272727,359.4166666666667,606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,65535,5,54,1407782,0.0,1407782,1407782,0.0,0.0,0.0,0.0,NeedManualLabel
