Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.20-192.168.1.1-33825-62294-6,172.16.0.20,33825,192.168.1.1,62294,6,04/05/2025 07:35:09 PM,58305,50,50,7747,8363,270,0,154.94,67.05690851502055,320,0,167.26,69.27932518406327,276305.63416516595,1715.1187719749591,588.939393939394,132141.06791930142,291944,-305115,157200,3208.1632653061224,124086.55422179897,291944,-223765,58305,1189.8979591836735,134095.95078684096,228530,-305115,0,0,0,0,2000,2000,857.5593859874796,857.5593859874796,0,320,161.1,68.11391231242742,4639.50505050505,0,2,0,4,99,7,0,0,1.0,163.41,154.94,167.26,2000,2011.6666666666667,13.0,-69326.37963516059,2605.5,16.0,-35690.06965419466,0.0,0.0,0.0,0.0,0,63053,49,40,58305,0.0,58305,58305,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-8.8.8.8-47610-80-17,10.0.0.50,47610,8.8.8.8,80,17,04/05/2025 07:35:10 PM,-189193,150,0,4673,0,66,0,31.153333333333332,13.878541529599365,0.0,0.0,0.0,0.0,0.0,0.0,-1269.751677852349,141100.0642732105,351159,-325580,-189193,-1269.751677852349,141100.0642732105,351159,-325580,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4200,0,0.0,0.0,0,66,31.153333333333332,13.878541529599365,192.61391498881432,0,0,0,0,0,0,0,0,0.0,31.153333333333332,31.153333333333332,0.0,4200,4673.0,147.0,-24699.64533571538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,146,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-208.67.222.222-55134-80-6,10.0.0.50,55134,208.67.222.222,80,6,04/05/2025 07:35:12 PM,96669,100,99,19145,20681,429,0,191.45,88.36475998994626,441,0,208.8989898989899,86.76716379630602,411983.1590271959,2058.5710000103445,488.22727272727275,85370.48133699087,195858,-196508,96669,976.4545454545455,81285.9266611929,197590,-172363,-131903,-1345.9489795918366,95173.33745583323,195858,-181802,0,0,0,0,4000,3960,1034.457788949922,1024.1132110604226,0,441,200.13065326633165,87.78902059164217,7706.912136439774,0,2,0,9,198,12,0,0,0.99,200.13065326633165,191.45,208.8989898989899,4000,3262.5,17.75,-48522.39094546157,4488.0,21.0,-101501.71883481093,0.0,0.0,0.0,0.0,43363,49314,97,40,96669,0.0,96669,96669,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-8.8.8.8-38352-53-6,10.0.0.50,38352,8.8.8.8,53,6,04/05/2025 07:35:15 PM,315888,93,93,17542,19881,472,0,188.6236559139785,101.02118955280089,409,0,213.7741935483871,99.35171701895396,118469.20427493288,588.8162893177329,1707.5027027027027,286301.16552732664,671078,-647147,-108279,-1176.945652173913,281147.15354017774,671078,-576432,105401,1145.6630434782608,267643.57335666957,632493,-647147,0,0,0,0,3720,3720,294.40814465886643,294.40814465886643,0,472,201.19892473118279,100.71124470310333,10142.754809648359,0,2,0,10,185,13,0,0,1.0,201.19892473118279,188.6236559139785,213.7741935483871,3720,3557.0,18.0,-10980.114940843358,1882.7142857142858,8.142857142857142,-8478.152626046502,0.0,0.0,0.0,0.0,0,48125,89,40,315888,0.0,315888,315888,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-192.168.1.1-18316-80-17,172.16.0.20,18316,192.168.1.1,80,17,04/05/2025 07:35:10 PM,66025,182,0,28702,0,346,0,157.7032967032967,82.31847526702114,0.0,0.0,0.0,0.0,434714.12343809166,2756.531616811814,364.7790055248619,189832.7496900475,443859,-398873,66025,364.7790055248619,189832.7496900475,443859,-398873,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5096,0,2756.531616811814,0.0,0,346,157.7032967032967,82.31847526702114,6776.331370287171,0,0,0,0,0,0,0,0,0.0,157.7032967032967,157.7032967032967,0.0,5096,28702.0,177.0,434714.12343809166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,176,28,66025,0.0,66025,66025,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-8.8.8.8-2056-443-6,172.16.0.20,2056,8.8.8.8,443,6,04/05/2025 07:35:11 PM,-33909,93,93,13004,13365,314,0,139.8279569892473,69.85429302046822,296,0,143.70967741935485,68.12402063837901,0.0,0.0,-183.29189189189188,269946.3444028622,598141,-561600,144376,1569.304347826087,270040.232201753,598141,-531520,-33909,-368.57608695652175,256411.23847415755,506756,-471158,0,0,0,0,3720,3720,0.0,0.0,0,314,141.7688172043011,68.83537192303548,4738.308427782621,0,1,0,6,185,10,0,0,1.0,142.79569892473117,139.8279569892473,143.70967741935485,3720,4724.0,34.5,-22237.180905397836,906.5,6.1,-8637.63569854318,0.0,0.0,0.0,0.0,0,10501,92,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-8.8.8.8-54932-80-17,10.0.0.50,54932,8.8.8.8,80,17,04/05/2025 07:35:08 PM,115344,0,70,0,13521,0.0,0.0,0.0,0.0,459,0,193.15714285714284,94.50812950451969,117223.26258843113,606.8802885282286,1671.6521739130435,105637.87479916055,226965,-228522,0.0,0.0,0.0,0.0,0.0,115344,1671.6521739130435,105637.87479916055,226965,-228522,0,0,0,0,0,1960,0.0,606.8802885282286,0,459,193.15714285714284,94.50812950451969,8931.786542443064,0,0,0,0,0,0,0,0,0.0,195.5,0.0,193.15714285714284,0,0.0,0.0,0.0,13521.0,69.0,117223.26258843113,0.0,0.0,0.0,0.0,0,0,0,0.0,115344,0.0,115344,115344,0.0,0.0,0.0,0.0,NeedManualLabel
172.16.0.20-8.8.8.8-5018-53-17,172.16.0.20,5018,8.8.8.8,53,17,04/05/2025 07:35:05 PM,270256,0,148,0,50813,0.0,0.0,0.0,0.0,790,0,343.3310810810811,166.36384960671646,188018.02735184418,547.6289148067018,1838.4761904761904,158852.9213505172,368427,-369898,0.0,0.0,0.0,0.0,0.0,270256,1838.4761904761904,158852.9213505172,368427,-369898,0,0,0,0,0,5908,0.0,547.6289148067018,0,790,343.3310810810811,166.36384960671646,27676.93045596617,0,0,0,0,0,0,0,0,0.0,346.2972972972973,0.0,343.3310810810811,0,0.0,0.0,0.0,50813.0,147.0,188018.02735184418,0.0,0.0,0.0,0.0,0,0,0,0.0,270256,0.0,270256,270256,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.1.100-8.8.8.8-39100-443-17,192.168.1.100,39100,8.8.8.8,443,17,04/05/2025 07:35:07 PM,-173080,0,138,0,52838,0.0,0.0,0.0,0.0,861,0,382.8840579710145,192.86756821219114,0.0,0.0,-1263.3576642335765,185802.4251812035,410036,-434809,0.0,0.0,0.0,0.0,0.0,-173080,-1263.3576642335765,185802.4251812035,410036,-434809,0,0,0,0,0,3864,0.0,0.0,0,861,382.8840579710145,192.86756821219114,37197.89886808421,0,0,0,0,0,0,0,0,0.0,387.0,0.0,382.8840579710145,0,0.0,0.0,0.0,52838.0,133.0,-305280.79500808875,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.0.0.50-208.67.222.222-29071-443-6,10.0.0.50,29071,208.67.222.222,443,6,04/05/2025 07:35:05 PM,84984,42,42,18571,17891,887,0,442.1666666666667,192.5778799275721,819,99,425.9761904761905,181.17320752969235,429045.4673820954,988.4213499011578,1023.9036144578313,101942.9690348929,199429,-223640,-146257,-3567.243902439024,102400.88613185447,191402,-203191,84984,2072.7804878048782,101179.6804871196,174529,-194862,0,0,0,0,1680,1680,494.2106749505789,494.2106749505789,0,887,434.07142857142856,186.0111918976587,34600.16351118761,0,1,0,2,83,5,0,0,1.0,435.85714285714283,442.1666666666667,425.9761904761905,1680,9006.5,20.0,-147871.7727701843,2946.5,7.25,2381010.101010101,0.0,0.0,0.0,0.0,0,11835,41,40,84984,0.0,84984,84984,0.0,0.0,0.0,0.0,NeedManualLabel
